sample,plot,treatment,species,light,diameter,rootdepth,rootdm,stemdm,leafdm,licorleafdm,totalleafdm,totaldm,rmf,smf,lmf,agmf,la,scsa,leafstemratio,notes
253,Q,Control,ABLA,13,2,16.2,0.1368,0.1763,0.2106,,0.2106,0.5237,0.261218255,0.336643116,0.402138629,0.738781745,18.015,0.031415927,573.43526,
254,Q,Control,ABLA,13,1.42,8,0.0655,0.0755,0.155,,0.155,0.296,0.221283784,0.255067568,0.523648649,0.778716216,15.464,0.015836769,976.461829,
255,R,Drought,ABLA,33.4,3.65,16.1,0.3266,0.5861,0.722,0.073,0.795,1.7077,0.191251391,0.343210166,0.465538444,0.808748609,59.491,0.10463467,568.5591575,
256,R,Drought,PIEN,33.4,3.05,9.8,0.1358,0.3093,0.3897,,0.3897,0.8348,0.162673694,0.370507906,0.4668184,0.837326306,33.745,0.073061664,461.8701256,
257,R,Drought,PIEN,33.4,1.4,6.6,0.0352,0.0637,0.0576,,0.0576,0.1565,0.224920128,0.407028754,0.368051118,0.775079872,4.456,0.015393804,289.4671128,
258,R,Drought,PIEN,33.4,1.87,7.1,0.0817,0.0529,0.124,,0.124,0.2586,0.315931941,0.204563032,0.479505027,0.684068059,9.5,0.027464588,345.8999592,
259,R,Drought,PIEN,33.4,1.3,4.7,0.0187,0.0144,0.0257,,0.0257,0.0588,0.318027211,0.244897959,0.43707483,0.681972789,2.485,0.013273229,187.2189508,
260,R,Drought,PIEN,33.4,1.16,4.8,0.0247,0.0214,0.0239,,0.0239,0.07,0.352857143,0.305714286,0.341428571,0.647142857,2.781,0.010568318,263.145004,
261,R,Drought,PIEN,33.4,0.95,6.1,0.0091,0.0066,0.0067,,0.0067,0.0224,0.40625,0.294642857,0.299107143,0.59375,0.717,0.007088218,101.1537677,
262,R,Drought,PIEN,33.4,,,,,,,,,,,,,,,,Sample missing
263,R,Drought,PIEN,33.4,2.94,11.2,0.2828,0.2726,0.498,,0.498,1.0534,0.268464021,0.25878109,0.472754889,0.731535979,49.025,0.067886676,722.1593859,
264,R,Drought,PIEN,33.4,1.1,3,0.0087,0.0067,0.0091,,0.0091,0.0245,0.355102041,0.273469388,0.371428571,0.644897959,0.896,0.009503318,94.28286216,
265,R,Control,ABLA,33.4,3.05,11.4,0.2161,0.2216,0.4864,0.0453,0.5317,0.9694,0.222921395,0.228595007,0.548483598,0.777078605,40.685,0.073061664,556.8583808,
266,R,Control,PIEN,33.4,1.34,9.1,0.03,0.0207,0.0307,,0.0307,0.0814,0.368550369,0.254299754,0.377149877,0.631449631,3.1,0.014102609,219.8174754,
267,R,Control,PIEN,33.4,3.8,9.8,0.2125,0.3808,0.6344,,0.6344,1.2277,0.173087888,0.310173495,0.516738617,0.826912112,52.682,0.113411495,464.5208151,
268,R,Control,PIEN,33.4,1.02,5.9,0.0138,0.0136,0.0187,,0.0187,0.0461,0.299349241,0.295010846,0.405639913,0.700650759,1.845,0.008171282,225.7907497,
